Type,Optimizer,Best IS,Max Avg IS
Double Loop,adafm,5.8712,4.9558
Double Loop,AdaSTORM-M,5.7730,5.0716
Double Loop,tiada,5.5205,4.4909
Double Loop,msgda,5.2445,3.9227
Double Loop,pesg,5.1066,4.6704
Double Loop,adagrad,5.0638,4.4103
Double Loop,Adagrad,5.0049,4.3216
Double Loop,adam,4.9126,4.3485
Double Loop,rmsprop,4.5277,3.6349
Double Loop,RMSProp,4.2728,3.5331
Double Loop,Adam,3.9313,3.1255
Single Loop,gradient_comparison_data,5.7730,5.0716
Single Loop,AdaSTORM-M,5.7730,5.0716
Single Loop,TiAda,5.4211,4.9605
Single Loop,MSGDA,5.2445,3.9227
Single Loop,PESG,5.1066,4.6704
